Time,total_v,max_v,min_v,avg_v,max-min,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,max_temp,min_temp,avg_temp,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,undervoltage,overvoltage,pec,overtemperature,openwire,openwire_temp
4125,97.792938,3.493800,3.491250,3.492605,0.002550,3.492600,3.493050,3.492600,3.492600,3.492600,3.492900,3.493650,3.491550,3.492450,3.492450,3.493500,3.491250,3.493050,3.492750,3.492750,3.492300,3.492750,3.492750,3.493050,3.492300,3.491700,3.492450,3.492750,3.492750,3.492300,3.492450,3.493800,3.491850,20.072626,19.466761,19.884180,20.057459,19.557581,20.032190,20.006922,19.931147,19.951349,19.860437,20.072626,,,,,,,19.698877,0,0,0,0,0,0
4620,97.792786,3.493800,3.491250,3.492599,0.002550,3.492600,3.493200,3.492600,3.492600,3.492450,3.492900,3.493650,3.491550,3.492450,3.492300,3.493350,3.491250,3.493050,3.492900,3.492750,3.492300,3.492750,3.492750,3.493050,3.492150,3.491550,3.492600,3.492750,3.492900,3.492300,3.492450,3.493800,3.491850,20.072626,19.466761,19.884495,20.052393,19.557581,20.032190,20.006922,19.936213,19.956415,19.860437,20.072626,,,,,,,19.698877,0,0,0,0,0,0
5121,97.792488,3.493800,3.491250,3.492589,0.002550,3.492600,3.493050,3.492600,3.492600,3.492600,3.492900,3.493650,3.491550,3.492450,3.492300,3.493350,3.491250,3.493050,3.492750,3.492900,3.492150,3.492750,3.492750,3.493050,3.492150,3.491550,3.492450,3.492750,3.492900,3.492300,3.492450,3.493800,3.491850,20.072626,19.466761,19.885126,20.052393,19.557581,20.032190,20.006922,19.931147,19.956415,19.860437,20.072626,,,,,,,19.703913,0,0,0,0,0,0
5622,97.792938,3.493800,3.491250,3.492605,0.002550,3.492600,3.493050,3.492600,3.492600,3.492600,3.492900,3.493800,3.491550,3.492450,3.492300,3.493350,3.491250,3.493050,3.492750,3.492900,3.492150,3.492750,3.492750,3.493050,3.492300,3.491700,3.492450,3.492750,3.492900,3.492300,3.492450,3.493800,3.491850,20.077662,19.471796,19.886070,20.057459,19.562616,20.032190,20.006922,19.931147,19.956415,19.860437,20.077662,,,,,,,19.698877,0,0,0,0,0,0
6123,97.792793,3.493800,3.491250,3.492600,0.002550,3.492600,3.493050,3.492600,3.492600,3.492450,3.492900,3.493800,3.491550,3.492450,3.492300,3.493350,3.491250,3.493050,3.492750,3.492900,3.492150,3.492750,3.492900,3.493050,3.492300,3.491550,3.492450,3.492750,3.492900,3.492300,3.492450,3.493800,3.491850,20.077662,19.471796,19.885756,20.052393,19.557581,20.032190,20.006922,19.936213,19.956415,19.860437,20.077662,,,,,,,19.703913,0,0,0,0,0,0
6624,97.792641,3.493800,3.491250,3.492594,0.002550,3.492600,3.493050,3.492600,3.492600,3.492600,3.492900,3.493800,3.491550,3.492450,3.492300,3.493350,3.491250,3.493050,3.492750,3.492750,3.492300,3.492750,3.492750,3.493050,3.492300,3.491550,3.492450,3.492750,3.492750,3.492300,3.492450,3.493800,3.491850,20.077662,19.471796,19.886072,20.052393,19.557581,20.037256,20.006922,19.936213,19.956415,19.860437,20.077662,,,,,,,19.703913,0,0,0,0,0,0
7125,97.792648,3.493800,3.491250,3.492594,0.002550,3.492600,3.493050,3.492600,3.492600,3.492600,3.492900,3.493800,3.491400,3.492450,3.492300,3.493350,3.491250,3.493050,3.492900,3.492900,3.492150,3.492750,3.492750,3.493050,3.492300,3.491550,3.492450,3.492750,3.492750,3.492300,3.492450,3.493800,3.491850,20.077662,19.471796,19.885439,20.057459,19.557581,20.032190,20.006922,19.931147,19.956415,19.860437,20.077662,,,,,,,19.703913,0,0,0,0,0,0
7626,97.792046,3.493800,3.491100,3.492573,0.002700,3.492600,3.493050,3.492600,3.492600,3.492600,3.492900,3.493650,3.491550,3.492450,3.492300,3.493350,3.491100,3.493050,3.492750,3.492750,3.492150,3.492600,3.492750,3.493050,3.492300,3.491550,3.492450,3.492750,3.492750,3.492300,3.492450,3.493800,3.491850,20.077662,19.466761,19.886074,20.052393,19.557581,20.037256,20.006922,19.936213,19.956415,19.865503,20.077662,,,,,,,19.703913,0,0,0,0,0,0
8127,97.792648,3.493800,3.491250,3.492594,0.002550,3.492600,3.493050,3.492750,3.492600,3.492600,3.492900,3.493650,3.491550,3.492450,3.492300,3.493350,3.491250,3.493050,3.492900,3.492900,3.492150,3.492750,3.492750,3.493050,3.492150,3.491550,3.492450,3.492750,3.492750,3.492300,3.492450,3.493800,3.491850,20.077662,19.466761,19.886705,20.057459,19.562616,20.037256,20.006922,19.936213,19.956415,19.860437,20.077662,,,,,,,19.703913,0,0,0,0,0,0
8628,97.792351,3.493800,3.491250,3.492584,0.002550,3.492600,3.493050,3.492600,3.492600,3.492450,3.492900,3.493650,3.491550,3.492450,3.492300,3.493350,3.491250,3.493050,3.492750,3.492900,3.492150,3.492600,3.492750,3.493050,3.492150,3.491700,3.492600,3.492750,3.492750,3.492300,3.492450,3.493800,3.491850,20.077662,19.471796,19.887020,20.052393,19.562616,20.037256,20.011988,19.936213,19.956415,19.860437,20.077662,,,,,,,19.703913,0,0,0,0,0,0
