Time,total_v,max_v,min_v,avg_v,max-min,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,max_temp,min_temp,avg_temp,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,undervoltage,overvoltage,pec,overtemperature,openwire,openwire_temp
4118,98.805298,2.988750,2.980050,3.528761,0.008700,4.074000,4.074450,4.074150,4.073700,4.074000,4.074300,4.074450,4.072500,4.073100,4.073850,4.072500,4.073250,4.072800,4.072950,2.986350,2.984250,2.986050,2.986350,2.988750,2.983950,2.981250,2.982000,2.982900,2.981850,2.980050,2.986050,2.983350,2.982150,27.375360,19.895807,23.621418,25.726404,23.875757,26.970301,26.760401,27.364832,27.375360,24.927546,26.760401,19.926111,19.895807,20.532770,21.836420,21.176172,21.902552,20.912561,21.999231,0,0,0,0,0,0
4619,98.804695,2.988750,2.980050,3.528739,0.008700,4.074000,4.074450,4.074150,4.073700,4.074000,4.074300,4.074300,4.072500,4.073100,4.073850,4.072500,4.073250,4.072800,4.072950,2.986350,2.984100,2.985900,2.986350,2.988750,2.984100,2.981250,2.982000,2.982750,2.981850,2.980050,2.986050,2.983200,2.982150,27.375360,19.900843,23.622364,25.731623,23.875757,26.970301,26.760401,27.359552,27.375360,24.927546,26.760401,19.926111,19.900843,20.532770,21.836420,21.176172,21.902552,20.917627,22.004328,0,0,0,0,0,0
5120,98.805000,2.988750,2.980050,3.528750,0.008700,4.073850,4.074300,4.074150,4.073700,4.074000,4.074300,4.074450,4.072500,4.073100,4.073850,4.072500,4.073250,4.072800,4.072950,2.986350,2.984250,2.986050,2.986350,2.988750,2.983950,2.981250,2.982000,2.982900,2.981850,2.980050,2.986050,2.983350,2.982150,27.375360,19.895807,23.623013,25.731623,23.880884,26.970301,26.760401,27.364832,27.375360,24.932734,26.755152,19.926111,19.895807,20.532770,21.836420,21.181238,21.902552,20.917627,22.004328,0,0,0,0,0,0
5621,98.804855,2.988600,2.980050,3.528745,0.008550,4.073850,4.074300,4.074150,4.073700,4.074000,4.074300,4.074300,4.072500,4.073100,4.073850,4.072500,4.073250,4.072800,4.073100,2.986350,2.984250,2.985900,2.986350,2.988600,2.984100,2.981250,2.982000,2.982900,2.981850,2.980050,2.986050,2.983350,2.982150,27.380640,19.895807,23.622696,25.726404,23.875757,26.970301,26.760401,27.364832,27.380640,24.932734,26.755152,19.926111,19.895807,20.532770,21.836420,21.181238,21.907648,20.917627,21.999231,0,0,0,0,0,0
6122,98.805298,2.988750,2.980050,3.528761,0.008700,4.074000,4.074450,4.074150,4.073850,4.074000,4.074300,4.074300,4.072500,4.073100,4.073850,4.072500,4.073250,4.072800,4.072950,2.986350,2.984250,2.986050,2.986350,2.988750,2.984100,2.981250,2.982000,2.982900,2.981850,2.980050,2.986050,2.983200,2.982150,27.375360,19.895807,23.621069,25.726404,23.865473,26.970301,26.760401,27.359552,27.375360,24.927546,26.755152,19.926111,19.895807,20.532770,21.836420,21.181238,21.902552,20.917627,22.004328,0,0,0,0,0,0
6623,98.804398,2.988600,2.979900,3.528728,0.008700,4.073850,4.074300,4.074150,4.073700,4.074000,4.074300,4.074300,4.072500,4.073100,4.073850,4.072500,4.073250,4.072800,4.072950,2.986350,2.984100,2.986050,2.986350,2.988600,2.984100,2.981250,2.982000,2.982750,2.981850,2.979900,2.986050,2.983350,2.982150,27.375360,19.895807,23.620749,25.726404,23.860346,26.970301,26.760401,27.359552,27.375360,24.927546,26.755152,19.926111,19.895807,20.532770,21.836420,21.181238,21.902552,20.917627,22.004328,0,0,0,0,0,0
7124,98.804543,2.988750,2.979900,3.528734,0.008850,4.074000,4.074300,4.074150,4.073700,4.074000,4.074300,4.074300,4.072500,4.073100,4.073850,4.072500,4.073250,4.072800,4.072950,2.986350,2.984100,2.985900,2.986350,2.988750,2.983950,2.981250,2.982000,2.982750,2.982000,2.979900,2.986050,2.983350,2.982150,27.375360,19.895807,23.620749,25.726404,23.860346,26.970301,26.760401,27.359552,27.375360,24.927546,26.755152,19.926111,19.895807,20.532770,21.836420,21.181238,21.902552,20.917627,22.004328,0,0,0,0,0,0
7625,98.804848,2.988750,2.980050,3.528744,0.008700,4.073850,4.074300,4.074150,4.073700,4.074000,4.074300,4.074300,4.072500,4.073100,4.073850,4.072500,4.073250,4.072800,4.072950,2.986350,2.984250,2.986050,2.986350,2.988750,2.984100,2.981250,2.982000,2.982750,2.981850,2.980050,2.986050,2.983350,2.982150,27.375360,19.895807,23.621704,25.721216,23.865473,26.970301,26.760401,27.359552,27.375360,24.932734,26.755152,19.926111,19.895807,20.537836,21.836420,21.181238,21.907648,20.917627,22.004328,0,0,0,0,0,0
8126,98.804543,2.988750,2.979900,3.528734,0.008850,4.073850,4.074300,4.074150,4.073700,4.074000,4.074300,4.074300,4.072500,4.073100,4.073850,4.072500,4.073250,4.072800,4.072950,2.986350,2.984250,2.986050,2.986350,2.988750,2.984100,2.981250,2.981850,2.982750,2.981850,2.979900,2.986050,2.983350,2.982150,27.370081,19.895807,23.620054,25.721216,23.870630,26.965052,26.755152,27.354273,27.370081,24.927546,26.749903,19.931147,19.895807,20.537836,21.836420,21.181238,21.902552,20.917627,22.004328,0,0,0,0,0,0
8627,98.804245,2.988600,2.980050,3.528723,0.008550,4.074000,4.074450,4.074150,4.073700,4.074000,4.074300,4.074300,4.072500,4.072950,4.073850,4.072500,4.073250,4.072800,4.072950,2.986350,2.984100,2.985900,2.986350,2.988600,2.983950,2.981250,2.981850,2.982750,2.981850,2.980050,2.986050,2.983350,2.982150,27.370081,19.900843,23.620058,25.721216,23.875757,26.965052,26.755152,27.354273,27.370081,24.927546,26.749903,19.926111,19.900843,20.532770,21.836420,21.181238,21.902552,20.917627,22.004328,0,0,0,0,0,0
