Time,total_v,max_v,min_v,avg_v,max-min,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,max_temp,min_temp,avg_temp,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,undervoltage,overvoltage,pec,overtemperature,openwire,openwire_temp
16267,97.850548,3.495900,3.493200,3.494663,0.002700,3.494550,3.495150,3.494700,3.494700,3.494550,3.494850,3.495750,3.493350,3.494400,3.494400,3.495450,3.493200,3.495300,3.495000,3.495000,3.494400,3.495150,3.494700,3.495450,3.494250,3.493650,3.494550,3.494850,3.494700,3.494250,3.494400,3.495900,3.493950,20.249506,19.739252,19.984211,19.971552,19.991755,20.032190,20.087763,19.936213,19.956415,19.921045,20.107996,,,,,,,19.890741,20.249506,19.739252,19.971552,19.885706,20.001886,20.001886,20.001886,0,0,0,0,0,0
16768,97.850403,3.495900,3.493350,3.494657,0.002550,3.494550,3.495150,3.494700,3.494550,3.494400,3.494850,3.495750,3.493350,3.494400,3.494400,3.495450,3.493350,3.495300,3.495000,3.495150,3.494400,3.495000,3.494700,3.495450,3.494250,3.493650,3.494550,3.494850,3.494700,3.494400,3.494400,3.495900,3.493800,20.249506,19.739252,19.984211,19.971552,19.991755,20.032190,20.087763,19.936213,19.956415,19.921045,20.107996,,,,,,,19.890741,20.249506,19.739252,19.971552,19.885706,20.001886,20.001886,20.001886,0,0,0,0,0,0
17269,97.850098,3.495900,3.493350,3.494646,0.002550,3.494550,3.495000,3.494700,3.494550,3.494550,3.494700,3.495750,3.493350,3.494400,3.494550,3.495600,3.493350,3.495300,3.495000,3.495000,3.494400,3.495000,3.494700,3.495300,3.494250,3.493650,3.494400,3.494850,3.494850,3.494250,3.494400,3.495900,3.493800,20.249506,19.739252,19.983896,19.971552,19.991755,20.032190,20.087763,19.936213,19.956415,19.921045,20.107996,,,,,,,19.890741,20.249506,19.739252,19.966516,19.885706,20.001886,20.001886,20.001886,0,0,0,0,0,0
17770,97.850098,3.495900,3.493200,3.494646,0.002700,3.494550,3.495150,3.494700,3.494700,3.494400,3.494850,3.495750,3.493350,3.494400,3.494400,3.495450,3.493200,3.495300,3.495000,3.495000,3.494400,3.495000,3.494700,3.495450,3.494250,3.493650,3.494400,3.494850,3.494850,3.494250,3.494400,3.495900,3.493800,20.249506,19.739252,19.983898,19.971552,19.986719,20.032190,20.092829,19.936213,19.956415,19.921045,20.107996,,,,,,,19.890741,20.249506,19.739252,19.966516,19.885706,20.001886,20.001886,20.001886,0,0,0,0,0,0
18271,97.850090,3.495900,3.493350,3.494646,0.002550,3.494550,3.495000,3.494700,3.494700,3.494400,3.494850,3.495900,3.493350,3.494400,3.494400,3.495600,3.493350,3.495300,3.495000,3.495000,3.494400,3.495000,3.494700,3.495450,3.494250,3.493650,3.494400,3.494700,3.494700,3.494250,3.494400,3.495900,3.493800,20.249506,19.739252,19.983263,19.971552,19.991755,20.032190,20.087763,19.931147,19.951349,19.921045,20.107996,,,,,,,19.890741,20.249506,19.739252,19.966516,19.885706,20.001886,20.001886,20.001886,0,0,0,0,0,0
18772,97.850403,3.495900,3.493200,3.494657,0.002700,3.494550,3.495000,3.494700,3.494550,3.494400,3.494850,3.495750,3.493350,3.494400,3.494400,3.495600,3.493200,3.495300,3.495000,3.495000,3.494400,3.495150,3.494700,3.495450,3.494400,3.493650,3.494550,3.494850,3.494700,3.494250,3.494400,3.495900,3.493950,20.249506,19.739252,19.983578,19.971552,19.991755,20.027124,20.087763,19.936213,19.951349,19.921045,20.107996,,,,,,,19.890741,20.249506,19.739252,19.971552,19.885706,20.001886,20.001886,20.001886,0,0,0,0,0,0
19273,97.850098,3.495900,3.493200,3.494646,0.002700,3.494550,3.495150,3.494700,3.494550,3.494550,3.494850,3.495750,3.493350,3.494400,3.494400,3.495600,3.493200,3.495300,3.495000,3.495000,3.494400,3.495000,3.494700,3.495450,3.494250,3.493650,3.494400,3.494700,3.494700,3.494250,3.494550,3.495900,3.493800,20.249506,19.739252,19.984211,19.971552,19.991755,20.032190,20.087763,19.936213,19.956415,19.921045,20.107996,,,,,,,19.890741,20.249506,19.739252,19.971552,19.885706,20.001886,20.001886,20.001886,0,0,0,0,0,0
19774,97.850403,3.495900,3.493350,3.494657,0.002550,3.494550,3.495150,3.494700,3.494700,3.494400,3.494850,3.495750,3.493350,3.494400,3.494400,3.495600,3.493350,3.495150,3.495000,3.495150,3.494400,3.495000,3.494700,3.495450,3.494250,3.493650,3.494550,3.494850,3.494700,3.494250,3.494400,3.495900,3.493800,20.249506,19.739252,19.984529,19.971552,19.986719,20.032190,20.092829,19.936213,19.956415,19.921045,20.107996,,,,,,,19.895807,20.249506,19.739252,19.971552,19.885706,20.001886,20.001886,20.001886,0,0,0,0,0,0
20275,97.849945,3.495900,3.493200,3.494641,0.002700,3.494550,3.495150,3.494700,3.494550,3.494400,3.494850,3.495750,3.493350,3.494400,3.494400,3.495450,3.493200,3.495300,3.495000,3.495000,3.494400,3.495000,3.494850,3.495450,3.494250,3.493650,3.494400,3.494700,3.494850,3.494250,3.494400,3.495900,3.493800,20.249506,19.739252,19.983896,19.971552,19.991755,20.032190,20.087763,19.936213,19.956415,19.921045,20.107996,,,,,,,19.890741,20.249506,19.739252,19.966516,19.885706,20.001886,20.001886,20.001886,0,0,0,0,0,0
20776,97.849945,3.495900,3.493350,3.494641,0.002550,3.494550,3.495150,3.494700,3.494550,3.494400,3.494850,3.495750,3.493350,3.494400,3.494400,3.495450,3.493350,3.495300,3.495000,3.495000,3.494400,3.495000,3.494700,3.495300,3.494250,3.493650,3.494400,3.494850,3.494700,3.494400,3.494400,3.495900,3.493800,20.249506,19.739252,19.984844,19.971552,19.986719,20.032190,20.092829,19.936213,19.956415,19.921045,20.107996,,,,,,,19.895807,20.249506,19.739252,19.971552,19.885706,20.001886,20.001886,20.006922,0,0,0,0,0,0
21277,97.849945,3.495900,3.493200,3.494641,0.002700,3.494550,3.495150,3.494700,3.494700,3.494550,3.494850,3.495750,3.493350,3.494400,3.494400,3.495450,3.493200,3.495150,3.495000,3.495000,3.494400,3.495000,3.494700,3.495450,3.494250,3.493650,3.494400,3.494850,3.494700,3.494250,3.494400,3.495900,3.493800,20.249506,19.739252,19.984215,19.971552,19.986719,20.032190,20.087763,19.936213,19.956415,19.926111,20.107996,,,,,,,19.895807,20.249506,19.739252,19.966516,19.885706,20.001886,20.001886,20.001886,0,0,0,0,0,0
21778,97.850098,3.495900,3.493200,3.494646,0.002700,3.494550,3.495150,3.494700,3.494700,3.494550,3.494850,3.495750,3.493350,3.494250,3.494400,3.495450,3.493200,3.495150,3.495000,3.495150,3.494400,3.495150,3.494700,3.495450,3.494250,3.493650,3.494400,3.494700,3.494700,3.494250,3.494400,3.495900,3.493950,20.249506,19.739252,19.984844,19.971552,19.991755,20.032190,20.092829,19.936213,19.956415,19.921045,20.107996,,,,,,,19.895807,20.249506,19.739252,19.971552,19.885706,20.001886,20.001886,20.001886,0,0,0,0,0,0
22279,97.850250,3.495900,3.493350,3.494652,0.002550,3.494550,3.495150,3.494700,3.494550,3.494400,3.494850,3.495750,3.493350,3.494400,3.494400,3.495450,3.493350,3.495300,3.495000,3.495000,3.494400,3.495000,3.494700,3.495450,3.494250,3.493650,3.494400,3.494850,3.494700,3.494250,3.494550,3.495900,3.493950,20.249506,19.739252,19.984529,19.971552,19.986719,20.032190,20.092829,19.936213,19.956415,19.921045,20.107996,,,,,,,19.895807,20.249506,19.739252,19.971552,19.885706,20.001886,20.001886,20.001886,0,0,0,0,0,0
22780,97.850708,3.495900,3.493350,3.494668,0.002550,3.494550,3.495150,3.494700,3.494550,3.494550,3.494850,3.495750,3.493350,3.494400,3.494400,3.495600,3.493350,3.495300,3.495000,3.495150,3.494400,3.495000,3.494700,3.495450,3.494250,3.493650,3.494550,3.494850,3.494850,3.494250,3.494400,3.495900,3.493800,20.249506,19.739252,19.984528,19.971552,19.991755,20.032190,20.087763,19.936213,19.956415,19.921045,20.107996,,,,,,,19.895807,20.249506,19.739252,19.971552,19.885706,20.001886,20.001886,20.001886,0,0,0,0,0,0
23281,97.849495,3.495900,3.493200,3.494625,0.002700,3.494550,3.495150,3.494700,3.494550,3.494400,3.494700,3.495750,3.493350,3.494400,3.494400,3.495450,3.493200,3.495150,3.495000,3.495000,3.494250,3.495000,3.494700,3.495300,3.494250,3.493650,3.494550,3.494850,3.494700,3.494250,3.494400,3.495900,3.493950,20.249506,19.739252,19.984211,19.971552,19.986719,20.032190,20.087763,19.931147,19.956415,19.921045,20.113031,,,,,,,19.895807,20.249506,19.739252,19.966516,19.885706,20.006922,20.001886,20.001886,0,0,0,0,0,0
23782,97.849945,3.495900,3.493200,3.494641,0.002700,3.494550,3.495150,3.494850,3.494700,3.494400,3.494700,3.495750,3.493350,3.494400,3.494400,3.495450,3.493200,3.495300,3.495000,3.495000,3.494400,3.495000,3.494700,3.495450,3.494250,3.493650,3.494400,3.494850,3.494700,3.494250,3.494400,3.495900,3.493800,20.249506,19.739252,19.984846,19.971552,19.991755,20.032190,20.092829,19.936213,19.956415,19.926111,20.107996,,,,,,,19.895807,20.249506,19.739252,19.966516,19.885706,20.001886,20.001886,20.001886,0,0,0,0,0,0
