Time,total_v,max_v,min_v,avg_v,max-min,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,max_temp,min_temp,avg_temp,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,undervoltage,overvoltage,pec,overtemperature,openwire,openwire_temp
3117,94.824135,3.392700,3.381150,3.386576,0.011550,3.384000,3.385350,3.386100,3.385950,3.383250,3.384000,3.386850,3.381150,3.384600,3.387000,3.389400,3.385200,3.387750,3.390150,3.390600,3.387300,3.391650,3.386250,3.392700,3.387300,3.384600,3.386550,3.386850,3.384900,3.384150,3.385500,3.389550,3.385500,22.116327,21.353754,21.667189,21.607691,21.714411,21.485773,21.617823,21.429895,21.450220,22.060328,21.861872,21.688990,22.116327,21.353754,21.495935,21.495935,21.501001,22.019587,21.775415,0,0,0,0,0,0
3618,94.824593,3.392700,3.381300,3.386593,0.011400,3.384000,3.385350,3.386250,3.385950,3.383250,3.384000,3.386850,3.381300,3.384600,3.387000,3.389400,3.385350,3.387600,3.390150,3.390600,3.387300,3.391650,3.386250,3.392700,3.387450,3.384600,3.386550,3.386700,3.384900,3.384150,3.385500,3.389700,3.385500,22.116327,21.353754,21.668461,21.612757,21.714411,21.485773,21.622919,21.434992,21.450220,22.060328,21.861872,21.688990,22.116327,21.353754,21.495935,21.495935,21.501001,22.024683,21.775415,0,0,0,0,0,0
4119,94.824448,3.392700,3.381300,3.386587,0.011400,3.384000,3.385350,3.386100,3.385950,3.383250,3.384000,3.386850,3.381300,3.384600,3.387000,3.389400,3.385200,3.387600,3.390150,3.390600,3.387300,3.391650,3.386250,3.392700,3.387450,3.384600,3.386550,3.386700,3.384900,3.384300,3.385500,3.389700,3.385500,22.116327,21.353754,21.669411,21.612757,21.714411,21.485773,21.622919,21.434992,21.455286,22.060328,21.866938,21.694056,22.116327,21.353754,21.495935,21.495935,21.501001,22.024683,21.775415,0,0,0,0,0,0
4620,94.824890,3.392700,3.381300,3.386603,0.011400,3.384000,3.385350,3.386100,3.386100,3.383250,3.384000,3.386850,3.381300,3.384600,3.387000,3.389400,3.385350,3.387750,3.390150,3.390600,3.387300,3.391650,3.386250,3.392700,3.387450,3.384600,3.386550,3.386850,3.384900,3.384150,3.385500,3.389700,3.385500,22.121424,21.353754,21.670362,21.612757,21.719477,21.485773,21.622919,21.434992,21.455286,22.060328,21.866938,21.694056,22.121424,21.353754,21.495935,21.501001,21.501001,22.024683,21.775415,0,0,0,0,0,0
5121,94.824600,3.392700,3.381300,3.386593,0.011400,3.384150,3.385350,3.386100,3.385950,3.383250,3.384000,3.386850,3.381300,3.384600,3.387000,3.389550,3.385200,3.387600,3.390150,3.390600,3.387300,3.391650,3.386250,3.392700,3.387450,3.384600,3.386550,3.386700,3.384900,3.384300,3.385500,3.389700,3.385350,22.121424,21.353754,21.670362,21.612757,21.719477,21.485773,21.622919,21.434992,21.455286,22.060328,21.866938,21.694056,22.121424,21.353754,21.495935,21.495935,21.506067,22.024683,21.775415,0,0,0,0,0,0
5622,94.824593,3.392700,3.381300,3.386593,0.011400,3.384000,3.385350,3.386100,3.385950,3.383250,3.384000,3.386700,3.381300,3.384600,3.387000,3.389400,3.385200,3.387750,3.390150,3.390600,3.387300,3.391800,3.386250,3.392700,3.387450,3.384600,3.386550,3.386850,3.384900,3.384150,3.385500,3.389700,3.385500,22.121424,21.358850,21.671947,21.617823,21.719477,21.490839,21.622919,21.434992,21.455286,22.065393,21.866938,21.694056,22.121424,21.358850,21.495935,21.495935,21.506067,22.024683,21.780481,0,0,0,0,0,0
6123,94.824448,3.392700,3.381300,3.386587,0.011400,3.384000,3.385350,3.386100,3.385950,3.383250,3.384000,3.386850,3.381300,3.384600,3.387000,3.389400,3.385200,3.387600,3.390150,3.390600,3.387300,3.391650,3.386250,3.392700,3.387450,3.384750,3.386550,3.386700,3.384900,3.384150,3.385500,3.389700,3.385500,22.121424,21.358850,21.671947,21.612757,21.719477,21.485773,21.622919,21.440058,21.455286,22.065393,21.866938,21.694056,22.121424,21.358850,21.495935,21.501001,21.506067,22.024683,21.780481,0,0,0,0,0,0
6624,94.824295,3.392700,3.381150,3.386582,0.011550,3.384000,3.385350,3.386250,3.385950,3.383250,3.384000,3.386850,3.381150,3.384450,3.387000,3.389550,3.385200,3.387600,3.390150,3.390600,3.387300,3.391650,3.386250,3.392700,3.387450,3.384600,3.386550,3.386700,3.384900,3.384150,3.385500,3.389700,3.385500,22.121424,21.358850,21.672266,21.612757,21.719477,21.490839,21.622919,21.434992,21.455286,22.065393,21.866938,21.699152,22.121424,21.358850,21.495935,21.501001,21.506067,22.024683,21.780481,0,0,0,0,0,0
7125,94.824593,3.392700,3.381150,3.386593,0.011550,3.384000,3.385200,3.386250,3.385950,3.383250,3.384000,3.386850,3.381150,3.384600,3.387000,3.389550,3.385200,3.387600,3.390150,3.390600,3.387300,3.391650,3.386250,3.392700,3.387450,3.384600,3.386550,3.386850,3.384900,3.384300,3.385500,3.389700,3.385500,22.121424,21.358850,21.671949,21.612757,21.719477,21.490839,21.622919,21.434992,21.455286,22.065393,21.872034,21.694056,22.121424,21.358850,21.495935,21.501001,21.506067,22.024683,21.775415,0,0,0,0,0,0
7626,94.824303,3.392700,3.381150,3.386582,0.011550,3.384000,3.385350,3.386100,3.385950,3.383250,3.384000,3.386850,3.381150,3.384600,3.387000,3.389400,3.385200,3.387600,3.390150,3.390600,3.387300,3.391650,3.386250,3.392700,3.387450,3.384600,3.386550,3.386700,3.384900,3.384300,3.385500,3.389700,3.385500,22.121424,21.358850,21.672901,21.612757,21.719477,21.490839,21.627985,21.440058,21.455286,22.065393,21.872034,21.699152,22.121424,21.358850,21.501001,21.495935,21.506067,22.024683,21.775415,0,0,0,0,0,0
