Time,total_v,max_v,min_v,avg_v,max-min,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,max_temp,min_temp,avg_temp,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,undervoltage,overvoltage,pec,overtemperature,openwire,openwire_temp
11275,89.827957,3.388950,3.025500,3.208141,0.363450,3.384750,3.385950,3.387000,3.387300,3.385200,3.385650,3.386550,3.384600,3.386850,3.387450,3.388800,3.387750,3.388650,3.388950,3.031350,3.030300,3.032550,3.031950,3.035400,3.029550,3.028350,3.027300,3.027900,3.027000,3.025500,3.031050,3.028050,3.026250,24.653620,23.639521,24.025373,24.102045,24.184381,23.798700,23.937433,23.639521,23.803827,24.112329,23.999140,24.375025,24.653620,23.896326,23.886042,23.896326,23.850061,24.297693,23.973444,0,0,0,0,0,0
11776,89.827812,3.388950,3.025500,3.208136,0.363450,3.384750,3.385950,3.387000,3.387300,3.385200,3.385650,3.386550,3.384600,3.386850,3.387450,3.388800,3.387750,3.388650,3.388950,3.031350,3.030300,3.032550,3.031950,3.035250,3.029550,3.028350,3.027150,3.027900,3.027000,3.025500,3.031050,3.028050,3.026400,24.653620,23.639521,24.025698,24.102045,24.184381,23.798700,23.942591,23.639521,23.803827,24.112329,23.999140,24.380182,24.653620,23.896326,23.886042,23.896326,23.850061,24.292566,23.973444,0,0,0,0,0,0
12277,89.828102,3.388950,3.025500,3.208147,0.363450,3.384750,3.385950,3.387000,3.387300,3.385200,3.385800,3.386550,3.384600,3.386850,3.387450,3.388800,3.387750,3.388650,3.388950,3.031350,3.030300,3.032550,3.031950,3.035250,3.029550,3.028350,3.027300,3.027900,3.027000,3.025500,3.031200,3.028050,3.026250,24.653620,23.639521,24.026340,24.102045,24.189539,23.793543,23.942591,23.639521,23.803827,24.112329,24.004297,24.380182,24.653620,23.896326,23.891169,23.896326,23.850061,24.292566,23.973444,0,0,0,0,0,0
12778,89.827209,3.388950,3.025500,3.208115,0.363450,3.384750,3.385800,3.387000,3.387300,3.385050,3.385650,3.386550,3.384600,3.386850,3.387450,3.388800,3.387750,3.388650,3.388950,3.031350,3.030300,3.032550,3.031800,3.035250,3.029400,3.028350,3.027300,3.027900,3.027000,3.025500,3.031050,3.028050,3.026250,24.653620,23.639521,24.025698,24.102045,24.184381,23.798700,23.942591,23.639521,23.803827,24.112329,23.999140,24.380182,24.653620,23.896326,23.886042,23.896326,23.850061,24.292566,23.973444,0,0,0,0,0,0
13279,89.827660,3.388950,3.025500,3.208131,0.363450,3.384750,3.385950,3.387000,3.387300,3.385200,3.385650,3.386550,3.384600,3.386700,3.387450,3.388800,3.387750,3.388650,3.388950,3.031350,3.030300,3.032550,3.031950,3.035250,3.029550,3.028350,3.027300,3.027900,3.027000,3.025500,3.031050,3.028050,3.026250,24.653620,23.644648,24.026661,24.102045,24.189539,23.798700,23.937433,23.644648,23.803827,24.112329,24.004297,24.380182,24.653620,23.896326,23.891169,23.896326,23.850061,24.292566,23.973444,0,0,0,0,0,0
13780,89.827957,3.388950,3.025650,3.208141,0.363300,3.384750,3.385800,3.387000,3.387300,3.385050,3.385650,3.386550,3.384600,3.386850,3.387450,3.388800,3.387750,3.388650,3.388950,3.031350,3.030300,3.032550,3.031950,3.035400,3.029550,3.028350,3.027300,3.027900,3.027150,3.025650,3.031050,3.028050,3.026250,24.653620,23.644648,24.026659,24.102045,24.184381,23.798700,23.942591,23.644648,23.803827,24.112329,23.999140,24.380182,24.653620,23.896326,23.891169,23.896326,23.850061,24.292566,23.978571,0,0,0,0,0,0
14281,89.827347,3.388950,3.025500,3.208120,0.363450,3.384750,3.385950,3.387000,3.387300,3.385050,3.385650,3.386550,3.384600,3.386700,3.387450,3.388800,3.387750,3.388650,3.388950,3.031350,3.030300,3.032550,3.031800,3.035400,3.029400,3.028350,3.027150,3.027750,3.027000,3.025500,3.031200,3.028050,3.026400,24.653620,23.639521,24.027624,24.102045,24.184381,23.798700,23.942591,23.639521,23.803827,24.117487,24.004297,24.380182,24.653620,23.896326,23.891169,23.896326,23.855188,24.297693,23.978571,0,0,0,0,0,0
14782,89.827652,3.388950,3.025500,3.208130,0.363450,3.384750,3.385950,3.387000,3.387300,3.385050,3.385650,3.386550,3.384600,3.386850,3.387450,3.388800,3.387750,3.388650,3.388950,3.031350,3.030300,3.032550,3.031950,3.035400,3.029550,3.028350,3.027300,3.027750,3.027000,3.025500,3.031050,3.028050,3.026250,24.653620,23.639521,24.026661,24.102045,24.184381,23.798700,23.942591,23.639521,23.803827,24.112329,24.004297,24.380182,24.653620,23.896326,23.891169,23.901453,23.850061,24.292566,23.973444,0,0,0,0,0,0
15283,89.827660,3.388950,3.025500,3.208131,0.363450,3.384750,3.385950,3.387000,3.387300,3.385050,3.385650,3.386550,3.384600,3.386850,3.387450,3.388800,3.387750,3.388650,3.388950,3.031350,3.030300,3.032550,3.031950,3.035400,3.029550,3.028350,3.027150,3.027750,3.027150,3.025500,3.031050,3.028050,3.026250,24.653620,23.639521,24.027624,24.102045,24.189539,23.798700,23.942591,23.639521,23.803827,24.117487,23.999140,24.380182,24.653620,23.901453,23.891169,23.896326,23.855188,24.292566,23.978571,0,0,0,0,0,0
15784,89.827515,3.388950,3.025500,3.208126,0.363450,3.384750,3.385950,3.387000,3.387300,3.385200,3.385650,3.386550,3.384600,3.386850,3.387450,3.388800,3.387750,3.388650,3.388950,3.031350,3.030300,3.032550,3.031950,3.035250,3.029550,3.028350,3.027150,3.027750,3.027000,3.025500,3.031050,3.028050,3.026250,24.653620,23.644648,24.028267,24.102045,24.189539,23.798700,23.942591,23.644648,23.803827,24.117487,24.004297,24.380182,24.653620,23.896326,23.891169,23.896326,23.855188,24.297693,23.978571,0,0,0,0,0,0
16285,89.827652,3.388950,3.025500,3.208130,0.363450,3.384750,3.385950,3.387000,3.387300,3.385050,3.385650,3.386550,3.384600,3.386700,3.387450,3.388800,3.387750,3.388650,3.388950,3.031350,3.030300,3.032550,3.031950,3.035400,3.029550,3.028350,3.027300,3.027900,3.027000,3.025500,3.031050,3.028050,3.026250,24.653620,23.644648,24.027943,24.102045,24.184381,23.798700,23.942591,23.644648,23.808954,24.112329,24.004297,24.380182,24.653620,23.896326,23.891169,23.896326,23.855188,24.297693,23.978571,0,0,0,0,0,0
