Time,total_v,max_v,min_v,avg_v,max-min,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,max_temp,min_temp,avg_temp,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,undervoltage,overvoltage,pec,overtemperature,openwire,openwire_temp
8579,42.195599,3.018300,3.010050,3.013971,0.008250,3.012600,3.012000,3.012000,3.014250,3.010050,3.013950,3.015300,3.011700,3.016650,3.013800,3.017850,3.012000,3.015150,3.018300,,,,,,,,,,,,,,,22.284418,20.198969,21.527309,21.521326,20.198969,22.284418,21.622919,22.136683,22.157068,20.785913,21.511164,,,,,,,,,0,0,0,0,0,0
9080,42.195751,3.018300,3.010050,3.013982,0.008250,3.012600,3.011850,3.012000,3.014250,3.010050,3.013950,3.015300,3.011700,3.016800,3.013800,3.018000,3.012000,3.015150,3.018300,,,,,,,,,,,,,,,22.284418,20.204035,21.527309,21.521326,20.204035,22.284418,21.622919,22.136683,22.157068,20.780848,21.511164,,,,,,,,,0,0,0,0,0,0
9581,42.195301,3.018300,3.010050,3.013950,0.008250,3.012600,3.011850,3.011850,3.014100,3.010050,3.013950,3.015300,3.011700,3.016650,3.013800,3.018000,3.012000,3.015150,3.018300,,,,,,,,,,,,,,,22.284418,20.209070,21.527939,21.521326,20.209070,22.284418,21.622919,22.136683,22.157068,20.780848,21.511164,,,,,,,,,0,0,0,0,0,0
10141,42.195301,3.018300,3.010050,3.013950,0.008250,3.012600,3.011850,3.011850,3.014250,3.010050,3.013950,3.015300,3.011550,3.016650,3.013800,3.017850,3.012000,3.015300,3.018300,,,,,,,,,,,,,,,22.284418,20.214136,21.526661,21.516230,20.214136,22.284418,21.617823,22.136683,22.151972,20.780848,21.511164,,,,,,,,,0,0,0,0,0,0
10642,42.195148,3.018300,3.010050,3.013939,0.008250,3.012600,3.011850,3.011850,3.014250,3.010050,3.013800,3.015300,3.011700,3.016650,3.013800,3.017850,3.012000,3.015150,3.018300,,,,,,,,,,,,,,,22.284418,20.219172,21.527927,21.516230,20.219172,22.284418,21.622919,22.136683,22.151972,20.780848,21.511164,,,,,,,,,0,0,0,0,0,0
11143,42.195148,3.018300,3.010050,3.013939,0.008250,3.012600,3.011850,3.011850,3.014250,3.010050,3.013800,3.015300,3.011550,3.016650,3.013800,3.017850,3.012000,3.015300,3.018300,,,,,,,,,,,,,,,22.279322,20.219172,21.527927,21.516230,20.219172,22.279322,21.622919,22.136683,22.157068,20.780848,21.511164,,,,,,,,,0,0,0,0,0,0
11644,42.194851,3.018300,3.009900,3.013918,0.008400,3.012600,3.011850,3.011850,3.014250,3.009900,3.013950,3.015300,3.011550,3.016650,3.013650,3.017850,3.012000,3.015150,3.018300,,,,,,,,,,,,,,,22.279322,20.224237,21.528561,21.516230,20.224237,22.279322,21.622919,22.136683,22.157068,20.780848,21.511164,,,,,,,,,0,0,0,0,0,0
12145,42.195301,3.018300,3.010050,3.013950,0.008250,3.012600,3.011850,3.011850,3.014250,3.010050,3.013950,3.015300,3.011700,3.016650,3.013800,3.017850,3.012000,3.015150,3.018300,,,,,,,,,,,,,,,22.279322,20.219172,21.527290,21.516230,20.219172,22.279322,21.617823,22.136683,22.157068,20.780848,21.511164,,,,,,,,,0,0,0,0,0,0
12646,42.195148,3.018300,3.010050,3.013939,0.008250,3.012600,3.011850,3.011850,3.014250,3.010050,3.013800,3.015300,3.011700,3.016650,3.013800,3.017850,3.012000,3.015150,3.018300,,,,,,,,,,,,,,,22.279322,20.219172,21.527927,21.516230,20.219172,22.279322,21.622919,22.136683,22.157068,20.780848,21.511164,,,,,,,,,0,0,0,0,0,0
13147,42.194996,3.018300,3.010050,3.013928,0.008250,3.012600,3.011850,3.011850,3.014250,3.010050,3.013800,3.015300,3.011550,3.016650,3.013800,3.017850,3.012000,3.015150,3.018300,,,,,,,,,,,,,,,22.279322,20.219172,21.527287,21.516230,20.219172,22.279322,21.617823,22.136683,22.151972,20.785913,21.511164,,,,,,,,,0,0,0,0,0,0
