charger_voltage,charger_current,total_v,max_v,min_v,avg_v,max_temp,min_temp,avg_temp,max_min_balance
,,441.570770,3.946200,3.936900,3.942596,19.174250,16.392176,17.883663,0.009300
442.700012,3.900000,441.569580,3.946350,3.936900,3.942585,19.174250,16.397211,17.884527,0.009450
,,441.580811,3.946650,3.937500,3.942686,19.174250,16.397211,17.885317,0.009150
442.700012,3.900000,441.589081,3.946950,3.937050,3.942760,19.174250,16.397211,17.885630,0.009900
,,441.589081,3.946950,3.937050,3.942760,19.174250,16.397211,17.886494,0.009900
442.700012,3.900000,441.589294,3.947100,3.936900,3.942762,19.179285,16.397211,17.886810,0.010200
,,441.583618,3.946800,3.937050,3.942711,19.179285,16.397211,17.887438,0.009750
442.700012,3.900000,441.574646,3.946350,3.937050,3.942631,19.174250,16.397211,17.888304,0.009300
,,441.590698,3.946200,3.937200,3.942774,19.179285,16.397211,17.888460,0.009000
442.700012,3.900000,441.600250,3.946650,3.937200,3.942859,19.179285,16.397211,17.888384,0.009450
442.700012,3.900000,441.599213,3.946650,3.937350,3.942850,19.179285,16.397211,17.889879,0.009300
,,441.607971,3.946650,3.937350,3.942928,19.184351,16.402246,17.891846,0.009300
442.700012,3.900000,441.622375,3.946800,3.937800,3.943057,19.179285,16.402246,17.891531,0.009000
,,441.616089,3.947400,3.937200,3.943001,19.179285,16.402246,17.892317,0.010200
442.700012,3.900000,441.619965,3.947250,3.937350,3.943035,19.184351,16.402246,17.893023,0.009900
,,441.605011,3.946500,3.937350,3.942902,19.184351,16.402246,17.893415,0.009150
442.700012,3.900000,441.626007,3.946650,3.937500,3.943089,19.184351,16.402246,17.893415,0.009150
,,441.628754,3.946800,3.937650,3.943114,19.184351,16.402246,17.894121,0.009150
442.700012,3.900000,441.646912,3.947250,3.937800,3.943276,19.184351,16.402246,17.894753,0.009450
,,441.635651,3.947550,3.937350,3.943176,19.184351,16.407251,17.895775,0.010200
442.799988,3.900000,441.642029,3.947250,3.937500,3.943232,19.189386,16.402246,17.896400,0.009750
,,441.646210,3.946950,3.937650,3.943270,19.189386,16.402246,17.896952,0.009300
442.700012,3.900000,441.643982,3.947100,3.937650,3.943250,19.189386,16.407251,17.897818,0.009450
,,441.653381,3.947700,3.937350,3.943334,19.189386,16.407251,17.898287,0.010350
442.700012,3.900000,441.652222,3.947550,3.937650,3.943323,19.189386,16.407251,17.898760,0.009900
,,441.641693,3.947100,3.937650,3.943229,19.189386,16.407251,17.899075,0.009450
442.799988,3.900000,441.651367,3.946950,,3.943316,19.189386,16.407251,17.899466,0.009300
442.799988,3.900000,441.660156,3.947250,3.937800,3.943394,19.189386,16.407251,17.900171,0.009450
,,441.671265,3.947250,3.938400,3.943493,19.194422,16.407251,17.901039,0.008850
442.700012,3.900000,441.670837,3.947850,3.937650,3.943490,19.194422,16.407251,17.901665,0.010200
442.799988,3.900000,441.681061,3.947850,3.937800,3.943581,19.194422,16.407251,17.902531,0.010050
,,441.666565,3.947250,3.937950,3.943451,19.194422,16.412287,17.903234,0.009300
442.799988,3.900000,441.680389,3.947250,3.937950,3.943575,19.194422,16.412287,17.903549,0.009300
,,441.685791,3.947400,3.938250,3.943623,19.194422,16.412287,17.904570,0.009150
442.700012,3.900000,441.701324,3.947700,3.938400,3.943762,19.194422,16.412287,17.905043,0.009300
,,441.696075,3.948150,3.938100,3.943715,19.199457,16.412287,17.906219,0.010050
442.799988,3.900000,441.704315,3.948150,3.937950,3.943789,19.199457,16.412287,17.906771,0.010200
,,441.682556,3.947250,3.938100,3.943594,19.199457,16.412287,17.907007,0.009150
442.799988,3.900000,441.704437,3.947250,3.938250,3.943790,19.199457,16.417322,17.907480,0.009000
