"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.895725001E-2,2.657544896E-2,-1.116438121E-2,-1.273172736E-1
8.880425000E-2,7.684337720E-4,1.243838900E-2,1.129974425E-2
1.386502500E-1,9.770880081E-4,-8.917250549E-3,-1.233820975E-2
1.884959583E-1,2.143022809E-3,-1.248825478E-2,-8.793569148E-2
2.383419583E-1,1.282056849E-3,2.149695944E-2,-1.548459649E-2
2.881879583E-1,1.942669792E-2,1.300272753E-2,-3.000791073E-2
3.380339583E-1,-4.930847324E-3,-2.981627737E-2,-4.153920472E-2
3.878809583E-1,2.769661602E-3,2.043591821E-2,-4.243265927E-2
4.377269583E-1,9.016790260E-3,4.066592306E-3,-4.542000175E-2
4.875729583E-1,-2.454690367E-2,1.955619548E-4,-4.094395816E-2
5.374189583E-1,1.439180670E-2,7.872353112E-3,-5.651626289E-2
5.872659583E-1,1.420031039E-2,2.600604893E-2,-5.937028885E-2
6.371119583E-1,3.494383782E-2,1.171824044E-2,-3.271751046E-2
6.869579583E-1,-5.493720403E-2,-1.090841660E-1,-6.162380576E-2
7.368049583E-1,2.555319121E-2,1.592640845E-2,-5.474104822E-2
7.866509583E-1,8.923216537E-3,2.853811258E-2,-3.664566994E-2
8.364969583E-1,-2.568561237E-2,3.853315115E-3,-2.509624958E-3
8.863439583E-1,-4.105421472E-3,-4.479292441E-2,-5.206594706E-2
9.361899583E-1,7.648938311E-2,9.742509208E-2,9.163756371E-3
9.860359583E-1,2.943959791E-2,3.014341995E-2,-1.846837217E-1
1.035882958E0,-3.103486452E-2,-3.523989880E-2,1.756912887E-2
1.085729958E0,3.013472222E-2,2.019814666E-2,-1.041424191E-1
1.135575958E0,7.912196405E-3,-6.607039399E-2,-2.072656685E-1
1.185427125E0,-1.232973129E-2,2.806467083E-2,9.315842450E-2
1.235273125E0,-2.909519691E-3,3.589741820E-2,3.639307022E-3
1.285120125E0,1.018513704E-2,2.967087356E-2,-1.997859102E-1
1.334966125E0,1.805400923E-3,-4.034792589E-2,8.299537897E-3
1.384813125E0,1.587084163E-2,5.387989953E-3,-2.507169127E-2
1.434660125E0,3.953834234E-2,-2.643100446E-2,-1.461488163E-1
1.484506125E0,1.673544383E-2,-1.579836356E-2,1.097966766E-1
1.534353125E0,-7.295148874E-2,1.174615084E-1,-9.318298280E-2
1.584200125E0,7.305609908E-2,-5.008571438E-2,-9.479506016E-2
1.634047125E0,-2.217006532E-2,-9.831963385E-2,-3.493477464E-2
1.683893125E0,5.615757275E-3,7.348048816E-2,-3.104813039E-2
1.733740125E0,-1.859759929E-2,-5.251201652E-3,-7.100449383E-2
1.783587125E0,6.276467063E-2,3.160191653E-3,-8.790060818E-2
1.833434125E0,3.281928856E-2,-1.838261361E-2,-1.755275667E-2
1.883281125E0,-1.218107131E-1,-1.775073060E-2,-2.547865748E-2
1.933128125E0,5.645578075E-2,-3.286180878E-3,-5.767050326E-2
1.982975125E0,3.241212135E-2,3.398343265E-2,-1.150141472E-1
2.032822125E0,-6.194035940E-2,4.079538407E-3,6.093968153E-3
2.082669125E0,3.550747287E-2,-3.478749789E-2,-5.825405538E-2
2.132515125E0,8.155404031E-3,-1.957434012E-2,-7.157225847E-2
2.182357583E0,-1.243426854E-2,3.194238894E-2,-3.938976824E-2
2.232205583E0,2.833853066E-3,-2.193456871E-2,-3.520140767E-2
2.282052583E0,-5.330833420E-4,7.154378984E-3,-7.067588031E-2
2.331899583E0,1.025645480E-2,6.871474246E-3,-5.974918842E-2
2.381746583E0,-1.714787353E-3,-2.327931868E-3,-1.619737208E-2
2.431593583E0,-5.972254705E-3,-2.990921156E-2,-6.050581813E-2
2.481440583E0,6.366850398E-3,2.023778896E-2,-5.061349869E-2
2.531287583E0,5.341011230E-3,-1.398437454E-2,-4.688005149E-2
2.581134583E0,-1.177300327E-3,4.979470577E-3,-4.672510028E-2
2.630982583E0,2.217953051E-2,5.164132956E-3,-3.445939600E-2
2.680829583E0,-1.866769278E-2,-1.680384711E-2,-4.075100005E-2
2.730676583E0,1.050667908E-2,2.568715640E-2,-5.915218771E-2
2.780523583E0,-4.733321071E-3,-1.149999311E-2,-4.553636134E-2
2.830371583E0,-2.985186316E-3,-1.745901849E-2,-1.290012717E-2
2.880218583E0,5.509959217E-3,2.388715502E-3,-3.236316919E-2
2.930065583E0,5.083240382E-3,5.006650994E-3,-4.000314116E-2
2.979912583E0,4.276434258E-3,-7.998342337E-3,-5.303249180E-2
3.029760583E0,1.411463041E-2,-9.786932515E-3,-3.477806926E-2
